"filename", "language", "Properties", "JavaScript", "Markdown", "CSS", "Prisma", "JSON", "JSON with Comments", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Enes\Documents\GitHub\caliskanari\.env", "Properties", 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Enes\Documents\GitHub\caliskanari\README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Enes\Documents\GitHub\caliskanari\app\admin\page.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Enes\Documents\GitHub\caliskanari\app\auth\forgotPassword\page.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 1, 12
"c:\Users\Enes\Documents\GitHub\caliskanari\app\auth\login\admin\page.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Enes\Documents\GitHub\caliskanari\app\auth\login\page.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Enes\Documents\GitHub\caliskanari\app\auth\login\student\page.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Enes\Documents\GitHub\caliskanari\app\auth\login\teacher\page.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Enes\Documents\GitHub\caliskanari\app\auth\register\page.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Enes\Documents\GitHub\caliskanari\app\auth\register\student\page.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Enes\Documents\GitHub\caliskanari\app\auth\register\teacher\page.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Enes\Documents\GitHub\caliskanari\app\auth\resetPassword\page.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Enes\Documents\GitHub\caliskanari\app\auth\sendVerifyEmail\page.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 3, 15
"c:\Users\Enes\Documents\GitHub\caliskanari\app\auth\verifyEmail\page.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Enes\Documents\GitHub\caliskanari\app\head.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Enes\Documents\GitHub\caliskanari\app\layout.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Enes\Documents\GitHub\caliskanari\app\notification\page.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Enes\Documents\GitHub\caliskanari\app\page.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Enes\Documents\GitHub\caliskanari\app\student\page.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Enes\Documents\GitHub\caliskanari\app\teacher\page.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Enes\Documents\GitHub\caliskanari\components\Stepper\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 2, 39
"c:\Users\Enes\Documents\GitHub\caliskanari\components\Stepper\styles.module.css", "CSS", 0, 0, 0, 43, 0, 0, 0, 0, 0, 5, 48
"c:\Users\Enes\Documents\GitHub\caliskanari\components\auth\forgotPassword\formikData.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Enes\Documents\GitHub\caliskanari\components\auth\forgotPassword\index.js", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 0, 2, 18, 146
"c:\Users\Enes\Documents\GitHub\caliskanari\components\auth\forgotPassword\styles.module.css", "CSS", 0, 0, 0, 65, 0, 0, 0, 0, 0, 10, 75
"c:\Users\Enes\Documents\GitHub\caliskanari\components\auth\login\admin\formikData.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Enes\Documents\GitHub\caliskanari\components\auth\login\admin\index.js", "JavaScript", 0, 137, 0, 0, 0, 0, 0, 0, 5, 21, 163
"c:\Users\Enes\Documents\GitHub\caliskanari\components\auth\login\admin\styles.module.css", "CSS", 0, 0, 0, 65, 0, 0, 0, 0, 0, 10, 75
"c:\Users\Enes\Documents\GitHub\caliskanari\components\auth\login\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Enes\Documents\GitHub\caliskanari\components\auth\login\student\formikData.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Enes\Documents\GitHub\caliskanari\components\auth\login\student\index.js", "JavaScript", 0, 175, 0, 0, 0, 0, 0, 0, 6, 19, 200
"c:\Users\Enes\Documents\GitHub\caliskanari\components\auth\login\student\styles.module.css", "CSS", 0, 0, 0, 65, 0, 0, 0, 0, 0, 10, 75
"c:\Users\Enes\Documents\GitHub\caliskanari\components\auth\login\teacher\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Enes\Documents\GitHub\caliskanari\components\auth\register\index.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Enes\Documents\GitHub\caliskanari\components\auth\register\student\formikData.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 13, 54
"c:\Users\Enes\Documents\GitHub\caliskanari\components\auth\register\student\index.js", "JavaScript", 0, 642, 0, 0, 0, 0, 0, 0, 10, 81, 733
